IdIncident;CarrierDelay;WeatherDelay;NASDelay
13423;216.0;1;10.00
13424;100.0;1;26.00
13425;102.0;1;17.00
13426;102.0;1;23.00
13427;216.0;1;54.00
13428;102.0;1;104.00
13429;163.0;1;32.00
13430;201.0;1;23.00
13431;201.0;1;5.00
13432;201.0;1;1.00
13433;201.0;1;138.00
13434;163.0;1;17.00
13435;216.0;1;47.00
13436;100.0;1;49.00
13437;216.0;1;26.00
13438;216.0;1;71.00
13439;102.0;1;61.00
13440;84.0;1;12.00
13441;84.0;1;2.00
13442;163.0;1;28.00
13443;102.0;1;50.00
13444;100.0;1;25.00
13445;100.0;1;20.00
13446;216.0;1;19.00
13447;2599.0;11;
13448;2599.0;11;29.00
13449;2599.0;11;18.00
13450;263.0;2;
13451;263.0;2;0.00
13452;102.0;1;9.00
13453;102.0;1;4.00
13454;100.0;1;30.00
13455;100.0;1;101.00
13456;100.0;1;490.00
13457;100.0;1;36.00
13458;163.0;1;30.00
13459;100.0;1;68.00
13460;100.0;1;37.00
13461;163.0;1;244.00
13462;163.0;1;13.00
13463;263.0;2;14.00
13464;263.0;2;8.00
13465;263.0;2;9.00
13466;263.0;2;7.00
13467;263.0;2;5.00
13468;54.0;1;
13469;54.0;1;20.00
13470;54.0;1;16.00
13471;54.0;1;6.00
13472;54.0;1;22.00
13473;54.0;1;11.00
13474;54.0;1;0.00
13475;72.0;1;
13476;72.0;1;21.00
13477;72.0;1;0.00
13478;72.0;1;13.00
13479;72.0;1;27.00
13480;72.0;1;18.00
13481;72.0;1;17.00
13482;72.0;1;19.00
13483;72.0;1;26.00
13484;72.0;1;9.00
13485;72.0;1;39.00
13486;54.0;1;40.00
13487;54.0;1;10.00
13488;54.0;1;14.00
13489;54.0;1;8.00
13490;54.0;1;19.00
13491;72.0;1;4.00
13492;72.0;1;2.00
13493;72.0;1;6.00
13494;72.0;1;8.00
13495;72.0;1;7.00
13496;72.0;1;24.00
13497;72.0;1;51.00
13498;54.0;1;5.00
13499;54.0;1;3.00
13500;54.0;1;7.00
13501;54.0;1;31.00
13502;54.0;1;255.00
13503;54.0;1;4.00
13504;72.0;1;11.00
13505;72.0;1;12.00
13506;72.0;1;15.00
13507;72.0;1;40.00
13508;54.0;1;17.00
13509;54.0;1;12.00
13510;54.0;1;9.00
13511;72.0;1;10.00
13512;72.0;1;25.00
13513;72.0;1;202.00
13514;72.0;1;14.00
13515;72.0;1;16.00
13516;27.0;1;
13517;46.0;1;
13518;46.0;1;4.00
13519;72.0;1;3.00
13520;46.0;1;21.00
13521;84.0;1;17.00
13522;84.0;1;26.00
13523;84.0;1;32.00
13524;84.0;1;3.00
13525;16.0;1;
13526;1069.0;5;62.00
13527;1069.0;5;56.00
13528;1065.0;5;19.00
13529;1065.0;5;245.00
13530;1065.0;5;42.00
13531;1065.0;5;30.00
13532;1065.0;5;82.00
13533;2173.0;9;19.00
13534;2173.0;9;67.00
13535;2173.0;9;16.00
13536;2173.0;9;20.00
13537;2173.0;9;133.00
13538;2173.0;9;12.00
13539;2173.0;9;0.00
13540;2173.0;9;43.00
13541;2173.0;9;28.00
13542;2173.0;9;85.00
13543;2173.0;9;32.00
13544;2173.0;9;33.00
13545;2173.0;9;54.00
13546;2173.0;9;8.00
13547;2173.0;9;3.00
13548;2173.0;9;4.00
13549;2173.0;9;30.00
13550;2173.0;9;5.00
13551;2173.0;9;11.00
13552;2465.0;10;5.00
13553;2465.0;10;15.00
13554;2588.0;11;40.00
13555;2588.0;11;17.00
13556;2588.0;11;46.00
13557;2588.0;11;11.00
13558;2588.0;11;84.00
13559;1197.0;5;31.00
13560;1197.0;5;98.00
13561;1197.0;5;10.00
13562;1197.0;5;47.00
13563;2475.0;10;23.00
13564;2475.0;10;56.00
13565;1005.0;5;42.00
13566;937.0;4;39.00
13567;266.0;2;50.00
13568;266.0;2;54.00
13569;266.0;2;58.00
13570;266.0;2;35.00
13571;266.0;2;78.00
13572;266.0;2;9.00
13573;266.0;2;7.00
13574;402.0;2;108.00
13575;402.0;2;25.00
13576;402.0;2;16.00
13577;402.0;2;1.00
13578;402.0;2;49.00
13579;901.0;4;92.00
13580;901.0;4;22.00
13581;901.0;4;9.00
13582;901.0;4;12.00
13583;901.0;4;15.00
13584;901.0;4;77.00
13585;901.0;4;49.00
13586;901.0;4;10.00
13587;901.0;4;5.00
13588;901.0;4;17.00
13589;901.0;4;6.00
13590;901.0;4;8.00
13591;901.0;4;79.00
13592;901.0;4;2.00
13593;1121.0;5;17.00
13594;1121.0;5;284.00
13595;1121.0;5;146.00
13596;1121.0;5;4.00
13597;1121.0;5;87.00
13598;1028.0;5;17.00
13599;413.0;2;5.00
13600;413.0;2;3.00
13601;413.0;2;80.00
13602;413.0;2;22.00
13603;1674.0;7;18.00
13604;1674.0;7;16.00
13605;1674.0;7;23.00
13606;1674.0;7;20.00
13607;1674.0;7;19.00
13608;1674.0;7;11.00
13609;1674.0;7;21.00
13610;1674.0;7;56.00
13611;1035.0;5;11.00
13612;1035.0;5;12.00
13613;1035.0;5;27.00
13614;1035.0;5;5.00
13615;1826.0;8;
13616;1237.0;5;65.00
13617;1237.0;5;182.00
13618;1990.0;8;7.00
13619;1990.0;8;
13620;1990.0;8;77.00
13621;1990.0;8;0.00
13622;1990.0;8;39.00
13623;1990.0;8;11.00
13624;1990.0;8;4.00
13625;1990.0;8;22.00
13626;1990.0;8;29.00
13627;1990.0;8;1.00
13628;1990.0;8;16.00
13629;1182.0;5;2.00
13630;1182.0;5;6.00
13631;1182.0;5;15.00
13632;899.0;4;11.00
13633;899.0;4;9.00
13634;899.0;4;24.00
13635;2411.0;10;
13636;2411.0;10;0.00
13637;2411.0;10;175.00
13638;2411.0;10;26.00
13639;2411.0;10;15.00
13640;2411.0;10;30.00
13641;2411.0;10;21.00
13642;2411.0;10;62.00
13643;2411.0;10;3.00
13644;1011.0;5;22.00
13645;1011.0;5;2.00
13646;1011.0;5;12.00
13647;1011.0;5;38.00
13648;1204.0;5;24.00
13649;1204.0;5;9.00
13650;632.0;3;29.00
13651;632.0;3;15.00
13652;632.0;3;23.00
13653;444.0;2;69.00
13654;444.0;2;101.00
13655;444.0;2;23.00
13656;444.0;2;13.00
13657;444.0;2;15.00
13658;444.0;2;158.00
13659;728.0;3;0.00
13660;728.0;3;
13661;728.0;3;7.00
13662;728.0;3;21.00
13663;728.0;3;10.00
13664;728.0;3;17.00
13665;728.0;3;5.00
13666;728.0;3;15.00
13667;728.0;3;120.00
13668;728.0;3;20.00
13669;728.0;3;4.00
13670;728.0;3;32.00
13671;2248.0;9;
13672;2248.0;9;9.00
13673;2248.0;9;0.00
13674;2248.0;9;6.00
13675;2248.0;9;35.00
13676;2248.0;9;19.00
13677;1102.0;5;
13678;1102.0;5;74.00
13679;1102.0;5;0.00
13680;1102.0;5;93.00
13681;1102.0;5;222.00
13682;1102.0;5;36.00
13683;1102.0;5;6.00
13684;1102.0;5;11.00
13685;1102.0;5;42.00
13686;1102.0;5;10.00
13687;1102.0;5;13.00
13688;1102.0;5;5.00
13689;1102.0;5;9.00
13690;1102.0;5;26.00
13691;1102.0;5;4.00
13692;1035.0;5;56.00
13693;1035.0;5;9.00
13694;1035.0;5;10.00
13695;1035.0;5;57.00
13696;1035.0;5;21.00
13697;1035.0;5;4.00
13698;1035.0;5;7.00
13699;1076.0;5;11.00
13700;1076.0;5;23.00
13701;1076.0;5;13.00
13702;1076.0;5;77.00
13703;1076.0;5;14.00
13704;1076.0;5;16.00
13705;1076.0;5;19.00
13706;1076.0;5;17.00
13707;1076.0;5;12.00
13708;1076.0;5;104.00
13709;1076.0;5;26.00
13710;1076.0;5;38.00
13711;1076.0;5;120.00
13712;1076.0;5;55.00
13713;636.0;3;42.00
13714;636.0;3;0.00
13715;636.0;3;13.00
13716;636.0;3;24.00
13717;636.0;3;9.00
13718;636.0;3;7.00
13719;636.0;3;17.00
13720;636.0;3;15.00
13721;899.0;4;51.00
13722;474.0;2;54.00
13723;474.0;2;12.00
13724;474.0;2;20.00
13725;474.0;2;10.00
13726;474.0;2;3.00
13727;496.0;2;39.00
13728;496.0;2;18.00
13729;496.0;2;155.00
13730;496.0;2;31.00
13731;496.0;2;52.00
13732;1608.0;7;17.00
13733;972.0;4;6.00
13734;972.0;4;7.00
13735;972.0;4;86.00
13736;972.0;4;2.00
13737;972.0;4;16.00
13738;972.0;4;14.00
13739;972.0;4;12.00
13740;972.0;4;15.00
13741;972.0;4;171.00
13742;972.0;4;30.00
13743;1521.0;7;95.00
13744;1521.0;7;36.00
13745;1521.0;7;11.00
13746;1521.0;7;18.00
13747;1368.0;6;10.00
13748;1368.0;6;25.00
13749;1368.0;6;1.00
13750;1368.0;6;45.00
13751;1368.0;6;148.00
13752;1368.0;6;15.00
13753;1368.0;6;38.00
13754;1368.0;6;83.00
13755;1368.0;6;22.00
13756;1368.0;6;2.00
13757;1598.0;7;7.00
13758;1598.0;7;35.00
13759;1598.0;7;15.00
13760;228.0;1;8.00
13761;228.0;1;45.00
13762;228.0;1;159.00
13763;228.0;1;50.00
13764;228.0;1;7.00
13765;228.0;1;2.00
13766;228.0;1;44.00
13767;228.0;1;3.00
13768;228.0;1;474.00
13769;228.0;1;6.00
13770;228.0;1;1.00
13771;187.0;1;97.00
13772;187.0;1;9.00
13773;369.0;2;3.00
13774;184.0;1;
13775;184.0;1;0.00
13776;184.0;1;2.00
13777;184.0;1;18.00
13778;184.0;1;17.00
13779;184.0;1;1.00
13780;1189.0;5;25.00
13781;1189.0;5;37.00
13782;1189.0;5;6.00
13783;632.0;3;14.00
13784;632.0;3;17.00
13785;632.0;3;10.00
13786;632.0;3;16.00
13787;632.0;3;4.00
13788;632.0;3;11.00
13789;1554.0;7;50.00
13790;1554.0;7;23.00
13791;1554.0;7;34.00
13792;1554.0;7;21.00
13793;1554.0;7;12.00
13794;1554.0;7;9.00
13795;1554.0;7;14.00
13796;1554.0;7;7.00
13797;1554.0;7;71.00
13798;1554.0;7;37.00
13799;1554.0;7;530.00
13800;1554.0;7;8.00
13801;1554.0;7;3.00
13802;1554.0;7;31.00
13803;1554.0;7;16.00
13804;1554.0;7;4.00
13805;1554.0;7;6.00
13806;1554.0;7;1.00
13807;1121.0;5;23.00
13808;1121.0;5;189.00
13809;1121.0;5;22.00
13810;1121.0;5;21.00
13811;1121.0;5;26.00
13812;399.0;2;70.00
13813;399.0;2;83.00
13814;399.0;2;20.00
13815;1076.0;5;33.00
13816;1076.0;5;24.00
13817;1076.0;5;20.00
13818;1076.0;5;75.00
13819;1076.0;5;21.00
13820;636.0;3;84.00
13821;636.0;3;56.00
13822;636.0;3;45.00
13823;636.0;3;10.00
13824;636.0;3;2.00
13825;636.0;3;114.00
13826;636.0;3;4.00
13827;636.0;3;11.00
13828;899.0;4;147.00
13829;899.0;4;31.00
13830;899.0;4;37.00
