CarrierDelay;WeatherDelay;NASDelay
2419.0;10;
1167.0;5;
853.0;4;
826.0;4;4.00
1290.0;6;
337.0;2;0.00
628.0;3;
2486.0;10;
1846.0;8;
1400.0;6;0.00
1222.0;5;
529.0;3;
316.0;2;
1504.0;7;
200.0;1;
1065.0;5;
679.0;3;
2419.0;10;
1452.0;6;
1024.0;5;
2367.0;10;
733.0;3;
733.0;3;
416.0;2;0.00
140.0;1;
296.0;2;
1400.0;6;0.00
854.0;4;
1346.0;6;50.00
2425.0;10;
888.0;4;
733.0;3;
414.0;2;
282.0;2;
1739.0;7;
224.0;1;
1199.0;5;0.00
1208.0;5;0.00
836.0;4;
888.0;4;
746.0;3;
224.0;1;0.00
1185.0;5;0.00
1185.0;5;
867.0;4;
1721.0;7;
680.0;3;7.00
909.0;4;
2007.0;9;
1440.0;6;
2227.0;9;
1400.0;6;0.00
678.0;3;
1400.0;6;
447.0;2;
1744.0;7;7.00
1744.0;7;60.00
991.0;4;9.00
416.0;2;
1416.0;6;
1440.0;6;
413.0;2;
1005.0;5;
337.0;2;
1754.0;8;
1452.0;6;
1723.0;7;
1012.0;5;
2398.0;10;
746.0;3;
1290.0;6;
2393.0;10;0.00
1569.0;7;
391.0;2;
775.0;4;
2367.0;10;
2454.0;10;272.00
413.0;2;
1514.0;7;
678.0;3;
1846.0;8;
925.0;4;
678.0;3;
2565.0;11;0.00
719.0;3;
622.0;3;
1721.0;7;
708.0;3;
1605.0;7;0.00
2288.0;10;
588.0;3;
372.0;2;2.00
140.0;1;0.00
733.0;3;
1605.0;7;
678.0;3;
468.0;2;
612.0;3;
1846.0;8;
1005.0;5;
200.0;1;0.00
837.0;4;
628.0;3;
1874.0;8;0.00
679.0;3;
1874.0;8;0.00
612.0;3;
1846.0;8;
802.0;4;
1744.0;7;
719.0;3;0.00
1167.0;5;
937.0;4;
612.0;3;
719.0;3;
1546.0;7;
651.0;3;135.00
2254.0;10;
612.0;3;
888.0;4;
602.0;3;
1969.0;8;
997.0;4;0.00
763.0;4;
867.0;4;
1754.0;8;
991.0;4;
1514.0;7;
622.0;3;
1620.0;7;
602.0;3;
853.0;4;
1744.0;7;
1123.0;5;0.00
1190.0;5;
1012.0;5;
679.0;3;
199.0;1;
2288.0;10;7.00
2585.0;11;
2133.0;9;19.00
861.0;4;
455.0;2;
802.0;4;
867.0;4;
628.0;3;
1605.0;7;
2139.0;9;
1023.0;5;
680.0;3;
1504.0;7;21.00
224.0;1;0.00
1739.0;7;
550.0;3;0.00
414.0;2;
191.0;1;24.00
2548.0;11;
996.0;4;0.00
1546.0;7;
678.0;3;
846.0;4;
406.0;2;
1620.0;7;25.00
2419.0;10;
628.0;3;
1372.0;6;
1400.0;6;
1620.0;7;
733.0;3;
1723.0;7;
1452.0;6;
588.0;3;
1208.0;5;
1303.0;6;
678.0;3;
2227.0;9;
867.0;4;
2253.0;10;
862.0;4;0.00
1436.0;6;24.00
639.0;3;
1452.0;6;0.00
451.0;2;29.00
1635.0;7;
2338.0;10;
641.0;3;
455.0;2;
804.0;4;
2556.0;11;
1199.0;5;
888.0;4;
612.0;3;
1744.0;7;
191.0;1;0.00
472.0;2;
1725.0;7;
861.0;4;
524.0;3;
1703.0;7;
413.0;2;
2419.0;10;
1023.0;5;0.00
1440.0;6;
550.0;3;
1250.0;6;
391.0;2;
305.0;2;
733.0;3;
1514.0;7;
1739.0;7;
2419.0;10;
2419.0;10;
296.0;2;
1781.0;8;
966.0;4;
1605.0;7;
1065.0;5;
1506.0;7;
305.0;2;
413.0;2;0.00
588.0;3;
977.0;4;0.00
2454.0;10;
1620.0;7;25.00
733.0;3;
1400.0;6;
1744.0;7;
1452.0;6;
337.0;2;
2227.0;9;
2036.0;9;
2036.0;9;
1943.0;8;
1846.0;8;
588.0;3;
2565.0;11;
447.0;2;
867.0;4;
1452.0;6;
955.0;4;
862.0;4;
1504.0;7;10.00
1754.0;8;
414.0;2;
524.0;3;
404.0;2;
651.0;3;5.00
2065.0;9;
200.0;1;0.00
1605.0;7;
1190.0;5;
1440.0;6;
